index_id,id,semantic,label,semantic_id
13631,WormBase:WBGene00002583,gene,let-363,4
13632,ENSEMBL:ENSCAFG00000000010,gene,CTDP1,4
13633,MP:0002264,phenotype,abnormal bronchus morphology,8
13634,HP:0004268,phenotype,Osteoarthritis of the small joints of the hand,8
13635,WormBase:WBGene00001037,gene,dnj-19,4
13636,ENSEMBL:ENSMMUG00000019143,gene,ENSEMBL:ENSMMUG00000019143,4
13637,FBcv:0006004,phenotype,abnormal oviposition,8
13638,FlyBase:FBgn0003139,gene,PpV,4
13639,ENSEMBL:ENSOANG00000009766,gene,ENSEMBL:ENSOANG00000009766,4
13640,ENSEMBL:ENSCAFG00000005204,gene,CTNNB1,4
13641,MONARCH:APO_0000204APO_0000004,phenotype,hyperosmotic stress resistance:increased,8
13642,RGD:1311923,gene,Chd3,4
13643,MP:0002578,phenotype,impaired ability to fire action potentials,8
13644,WBPhenotype:0000208,phenotype,long defecation cycle,8
13645,HP:0012547,phenotype,Abnormal involuntary eye movements,8
13646,HGNC:50546,gene,LINC01337,4
13647,ZP:0005392,phenotype,"embryonic cranial skeleton morphogenesis process quality, abnormal",8
13648,RGD:619762,gene,Rab11a,4
13649,WormBase:WBGene00012236,gene,W04A8.1,4
13650,SGD:S000001949,gene,HXK1,4
13651,EFO:0004615,phenotype,apolipoprotein B measurement,8
13652,EFO:0004682,phenotype,QT interval,8
13653,WBPhenotype:0000473,phenotype,progressive paralysis,8
13654,ZP:0000141,phenotype,"dorsal/ventral pattern formation disrupted, abnormal",8
13655,WormBase:WBGene00004117,gene,sin-3,4
13656,MP:0003010,phenotype,decreased mortality induced by ionizing radiation,8
13657,MGI:1098230,gene,Cenpe,4
13658,ENSEMBL:ENSCAFG00000001345,gene,MATR3,4
13659,WormBase:WBGene00000138,gene,amx-2,4
13660,MP:0008537,phenotype,increased susceptibility to induced colitis,8
13661,ZP:0100332,phenotype,"sperm increased cellular motility, abnormal",8
13662,SGD:S000006041,gene,VPS30,4
13663,MGI:1917497,gene,Psmd1,4
13664,Xenbase:XB-GENE-1016982,gene,rnf4,4
13665,WBPhenotype:0001820,phenotype,bordering,8
13666,HGNC:20766,gene,TUBA1A,4
13667,ENSEMBL:ENSACAG00000005040,gene,ENSEMBL:ENSACAG00000005040,4
13668,ENSEMBL:ENSCAFG00000011118,gene,COPS7B,4
13669,WBPhenotype:0000540,phenotype,muscle arm development variant,8
13670,HGNC:4527,gene,C5AR2,4
13671,WBPhenotype:0002155,phenotype,pre miRNA processing defective,8
13672,MP:0000603,phenotype,pale liver,8
13673,FlyBase:FBgn0039044,gene,p53,4
13674,ENSEMBL:ENSGALG00000002288,gene,LIG3,4
13675,HP:0010850,phenotype,EEG with spike-wave complexes,8
13676,ENSEMBL:ENSMMUG00000002075,gene,ENSEMBL:ENSMMUG00000002075,4
13677,dictyBase:DDB_G0274281,gene,ppiH,4
13678,WormBase:WBGene00012641,gene,epg-6,4
13679,MGI:1261831,gene,Hap1,4
13680,ENSEMBL:ENSMMUG00000018354,gene,ENSEMBL:ENSMMUG00000018354,4
13681,MP:0020280,phenotype,increased creatine kinase level,8
13682,ZP:0001024,phenotype,"lens protruding, abnormal",8
13683,HP:0012443,phenotype,Abnormality of brain morphology,8
13684,ENSEMBL:ENSGALG00000049692,gene,A0A3Q3AYN2,4
13685,ZP:0101699,phenotype,"vascular associated smooth muscle cell dorsal aorta decreased amount, abnormal",8
13686,MGI:1333793,gene,Magea2,4
13687,ENSEMBL:ENSSSCG00005037806,gene,ENSEMBL:ENSSSCG00005037806,4
13688,SGD:S000005587,gene,CKA2,4
13689,MGI:1344395,gene,Chd3,4
13690,ZP:0004600,phenotype,"palatoquadrate cartilage aplastic/hypoplastic, abnormal",8
13691,ENSEMBL:ENSOANG00000028768,gene,ENSEMBL:ENSOANG00000028768,4
13692,MP:0008014,phenotype,increased lung tumor incidence,8
13693,MP:0000956,phenotype,decreased spinal cord size,8
13694,HP:0100247,phenotype,Recurrent singultus,8
13695,ENSEMBL:ENSBTAG00000002948,gene,SETD2,4
13696,EnsemblGenome:BAB96602,gene,EnsemblGenome:BAB96602,4
13697,ENSEMBL:ENSMODG00000018066,gene,ENSEMBL:ENSMODG00000018066,4
13698,ENSEMBL:ENSECAG00000017141,gene,ENSEMBL:ENSECAG00000017141,4
13699,Xenbase:XB-GENE-479154,gene,app,4
13700,MP:0003289,phenotype,abnormal intestinal peristalsis,8
