2023-02-21 04:23:50,379 ERROR    Response values could not get acquired at node HP:0012337 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 04:27:24,668 ERROR    Response values could not get acquired at node MP:0005386 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 05:25:46,659 ERROR    Response values could not get acquired at node HP:0002597 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 05:40:13,903 ERROR    Response values could not get acquired at node MP:0005385 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 05:55:11,515 ERROR    Response values could not get acquired at node MP:0002066 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 06:32:24,777 ERROR    Response values could not get acquired at node HP:0009121 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 06:37:08,894 ERROR    Response values could not get acquired at node MP:0000428 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 07:20:18,557 ERROR    Response values could not get acquired at node HP:0000315 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 07:32:43,554 ERROR    Response values could not get acquired at node HP:0010978 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 07:56:06,725 ERROR    Response values could not get acquired at node HP:0011121 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 08:08:55,856 ERROR    Response values could not get acquired at node HP:0003011 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 08:13:17,725 ERROR    Response values could not get acquired at node HP:0012243 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 08:17:57,048 ERROR    Response values could not get acquired at node MP:0005397 for to associations (params: {'rows': 2000}) resulting in response <Response [502]> due to Expecting value: line 2 column 1 (char 1)
2023-02-21 08:20:34,662 INFO     A total of 1942826 associations have been found between seeds and their neighbours.
2023-02-21 08:22:05,429 INFO     The graph contains 13 different semantic groups: {'anatomical entity', 'disease', 'gene', 'genotype', 'model', 'molecular function', 'variant', 'pathway', 'chemical', 'phenotype', 'cellular component', 'biological process', 'case'}
2023-02-21 08:22:05,429 INFO     For the graph, a total of 1942826 edges and 384410 nodes have been generated.
